Generation,Fitness score
0,-2252.95
1,-1838.83
2,-1549.53
3,-1285.27
4,-1064.8
5,-687.32
6,-344.77
7,-124.87
8,-38.34
9,-75.69
10,-72.14
11,-25.04
12,-45.41
13,-16.22
14,-31.27
15,4.42
16,-14.0
17,-45.12
18,-29.33
19,-82.01
20,-55.77
21,-10.78
22,-1.45
23,6.47
24,26.88
25,-8.47
26,4.78
27,8.64
28,7.74
29,0.62
30,1.87
31,-3.05
32,16.28
33,4.88
34,38.7
35,13.83
36,-2.04
37,-9.0
38,18.91
39,4.39
40,-7.1
41,-12.46
42,2.53
43,-0.88
44,25.56
45,-11.88
46,51.92
47,-15.54
48,22.85
49,13.02
50,-14.31
51,-16.32
52,-3.38
53,31.57
54,-3.89
55,-12.11
56,54.21
57,62.67
58,29.84
59,13.18
60,-12.42
61,-4.39
62,12.12
63,0.38
64,10.32
65,-4.0
66,-37.1
67,-68.82
68,5.82
69,-10.65
70,15.72
71,2.72
72,26.39
73,-13.92
74,1.28
75,-37.44
76,-31.64
77,-3.2
78,2.34
79,-9.04
80,23.13
81,9.13
82,18.53
83,39.21
84,-44.44
85,-27.25
86,-5.96
87,-12.5
88,-23.94
89,19.12
90,-4.0
91,-10.14
92,-5.31
93,-4.0
94,-4.0
95,-10.02
96,15.5
97,1.36
98,-14.36
99,2.47
100,22.6
